00:00:03 00:00:05  thank you san good
00:06:18 00:07:18  speck we're not trying to lob all the thing what we balance of course is you know as i say hey this isn't a deep enough dive on something like logistics and i'll scroll down there as i get there cause it has a little bit of both and it's what i it's what ole's going to cover here quickly in the demo so it's actually really really relevant as i scroll down some of you will see orange and what orange means to us as right now inside of our cycle is we're not going to be able to achieve that f t c h until after a you know probably inside of phase three so what we believe is for the prototype you know we are going to show you that we can do each one of your p specks via the prototype we're not going to be able to do all of them via the prototype because if we don't move out on if we get too deep in any one p speck we start to lose other p speck capabilities to get there because as you gave us more data what it does is we can deep dive and you can go into a rabbit hole on those
00:07:18 00:08:18  all day long and the prototype loses some functional ity on the back end and so that's what we're worried about it striking a balance with the government to say hey for the prototype can we just get deep enough in each one of these p specks and or ou o k with that and in having that dialogue so what i'm zoomed in on now and jean i don't know if you can see it well if you want to give me any feed back a trying to say hey you know that the the p speck here is you know seven forty eight and what er going to try to do is we're going to model consumption at the platform level and so what you're going to see you know oleg will show you later on to day e we can show you know people doing this portion of it they'll consume but it's food and water as per publication we think we can do that but rations have calories to simulate fatigue o k let's talk about that like what do you mean by that like do i have to have actual calories inside of there can i tie that to the publication which only uses pounds per soldier or per marine per day can we use that and somebody say
00:08:18 00:08:22  yeah we think that's good enough to achieve that f t c so there's a back and forth dialogue on
00:08:22 00:08:25  and will mark those appropriately
00:08:25 00:08:49  and then there's one you know we're goin to do in an austere environment right ole's going to show you that right now we can do it in a standard environment we're going t have a setting that says hey i'm in tropical i'm in arid i'm in this and it can increase the supply consumption i'm from there oleg will show you the first part of it to day and then we'll move on and then there are ones we're saying hey we're not really going to do that until a later date
00:08:49 00:08:56  but then as you get down there are ones that were like hay we don't think we're to be able to get to these until you know phase three
00:08:57 00:09:40  and you know the reason some of those are some of em require some experts some of em require inability to to deep dive and have me sitting with you next to you like i need a medical guy sitting with me to get this thing right and so that's what we're trying to say is that those are the ones that we are not going to deep dive into of those f t c deering phase too just to build the prototype cause we think we can get enough of it by execute here now of course that should lead to a back and forth the government should come back to us and say hey i'm unhappy that you're not modelling no space platforms i want to see you know a satellite with a lazar on it or i want to see a space shuttle with a lazar on it
00:09:40 00:10:14  and i think you know i want you to be able to do that or i've got these lighter than air platforms that i need to model i need par foils and rivals in the prototype and here's our reason for that and we're willing to trade you you know x y z don't do any more with logistics you've gone deep enough we need to see this thing and those are the types of we think back and forth dialogues and inside of here you know what we're trying to do is tell you who's going to do that thing like who's who's making that thing happen and where would you expect to see the primacy and what level we think we're modelling it
00:10:15 00:10:50  and so this is going to i'm sorry sir glad and i'm i'm tracking completely on what you're you're defining here and absolutely on board this is exactly what i i was looking for a the color coating is as fine in my mind that's one approach but it is the one thing that is missing a is you know so i'm good with the the green and the blue i think you said the green is going to be for face two the blue would be a
00:10:52 00:10:55  i think the bolus was to be at the d t event and so another
00:10:56 00:11:12  oh at the d t event so that still says to right what we were saying is we're going to try to show you what we can ah so this this is or this upcoming september demo and then we're going to say hey some of these were just going to push to the d t we still expect to show you that thing
00:11:12 00:11:28  the oranges is a phase three like we just don't think we ging to get there until we pass the prototype phase and then that's fine so what i would offer and as you can just tell i got confused on o blue means d t an green means we're going to do it during ah the actual
00:11:28 00:11:45  what i offer is and you started doing it in column oh it is right till you have face three a potential used a column that says a no instead of a color coat in use
00:11:45 00:12:00  demonstration of one options demonstration one is d t event one is o o demo od event that tells us that you potential have that available at the ops demonstration period
00:12:00 00:12:23  but then cadet get into face three right but then you had an i o c f o c or post f o c a piece tri idea to judge it no if you just say it's face three it could be an i o c face three or it could be a post f o c face three and that's where some of that negotiation may need to come in also
00:12:24 00:12:46  o k no sir that makes total sense and and what you have is you have a knuckle dagger you know probably the guy with the lowest ice in the room creating the spread sheet a and i see jean shaking his head we'll wrestle about that one later jean a the and so i believe i believe like this is going to be put in in a better tracking system something like
00:12:47 00:13:41  something to where we can communicate to the government kind of openly as we move through these things this was just marcus first initial attempt to have the dialogue with you but now those are easy fixes and will make it a more sort able type menu so i think we will make that happen at least in the poor man's column but you know i expect that somebody's going to start taking lips on all these other tabs we may wait to get your actual f t c numbers and that's probably a discussion for us to have at some point because i know bob does a lot of work on making numbers and getting things together and then we saw your guises spread sheet which had some some different f t con we had so we may just want to set a date for us to move out and continue on this us and the mods and sims since i helped with the snare working group this was a way for me to start telling the story and start telling people what i needed them to focus and
00:13:41 00:13:59  sure so ah i'm good with waiting until you get the dated a f t c id and ken you're on the call so i men i put you on the spot i apologize but how long is it going to take you to get that import done and get the f t c id
00:14:08 00:14:12  an peters an he be thee
00:14:13 00:14:36  i heard sore sorry lows i said peter out peter i was in to speak for you i heard by the end of the day i heard i don't know h to tot that once the eternal review is completed it should be up loaded and ready for in a day or two o k so what i heard you say once the internal review is completed up load a day or two how long is the internal review going to
00:14:40 00:14:44  i'll bring it maybe you can answer that
00:14:47 00:14:52  was it what's the final thing that we're trying to adjudicate is it those comments that you provided back to em
00:14:52 00:15:07  yes o k so since that's an eternal thing a bryan o i'm going to set a objective of c o be monday to have the comets judicature list
00:15:08 00:15:26  yes to this point i have a few comments and i've planning to send to morrow morning cannon that'll be it so we'll consider it wrapped up ok so that if the comments are judicatory s monday you said a day or two so s ll be wednesday we should have
00:15:27 00:15:34  it imported and pulled the a t c id by c wensday
00:15:34 00:15:36  that realistic ken
00:15:36 00:15:45  yes o k so that being said i quick review thursday morning and it'll be in your hands marcus a midday thursday
00:15:46 00:15:47  thank you very much sir
00:15:49 00:16:21  o see marcus as titan this does follow upon that i'm just kind of falling upon our conversation from yesterday so i'm two questions one s you got green means september i p r right and i guess i'm wondering are you going to indicate no by i p r so september is one i p r right but so is it is it all either september versus ten or are you going to be showing you know intermediate it is on in september these ones are december whatever
00:16:22 00:16:50  o you great question tyson and shows you that i had an assumption what we're going to try to follow there is a in our i p r schedule that we submitted what we're going to do is you know it will be at the demo as following that i p r let me let me try to pull that up for you just kind of to relay what i'm saying in the way that we think about it causes cause because you know you know how it is tyson you have so many internal dialogues you think everybody knows exactly what you know
00:16:58 00:17:04  the line just want silent maybe sir he were here jack thee just mark
00:17:14 00:17:27  in ready like let's get the final soft wares let's get the fine old things together we lost you martin you that track we lost about thirty seconds marcus o k i'm sorry e so ominous
00:17:31 00:17:32  we lost it again
00:17:36 00:17:50  this may be a very quick discussion a try to trick an i brief right you guess do you guess come right now yes we do all right if i got a switch head sets midway through i will so maybe i'm talking too fast
00:17:51 00:17:56  the tyson what we are trying to say is that what's in green means it's tied to the i p r
00:17:56 00:18:11  this i p r this one coming up in this cycle is the southwest pack i p r this i p r coming up in december is going to be the o i f and this one is tied to the strategic sonar
00:18:11 00:18:23  and that gave us this whole last cycle to clean up for the d t event so when we show it here we're tying it to where you wanted it at so o i f operational level that means it's on track for
00:18:24 00:18:30  september for december i p r if it says southwest pack then it's on track for the i p r
00:18:32 00:18:35  sen got yo and then the second question is
00:18:36 00:18:38  so indeed
00:18:38 00:19:00  given your getting these f t c on the order so do you still anticipate the two weeks prior to the september i p r being able to go through this have a discussion with us you now give it to us and then at least the parts that are for september write and then have that a dialogue on them in advance like the two weeks in advance of the tr
00:19:00 00:19:26  i do i do anticipate that that's possible and and with the the caveat that i get to use my wife's favorite line as i reserve the right to change my mind at any time with no given notice and what i mean by that tyson is we'll give you what's hopeful you know just be forgiving of us when we say hey i was going to model this this primary wheeled vehicle mover but this fell out of the demo due to you know the widgett maker and the spencer valve going down at the same
00:19:28 00:19:34  but we'll try to get you this i mean i really do think we'll get this to you two weeks ahead of time cause we should know dam sure by then
00:19:35 00:19:40  didn't i and jean i just i just surpassed my pay grade in trying to answer that
00:19:41 00:19:49  any any top cover or slappings you want to do in public no i'm not going to slap you marcus
00:19:50 00:20:23  i would just say that i more i get what you mean about things or things can change but it is important that we have that that dialogue even if things do change right so that it's more important to me that we've had the the talk through it with the sneeze on the phone and all and go through and get the questions answered and the discussion points out and all that even if it's not a hundred per cent accurate as to what actually is being done in september that's sort of the priority order to me is that we have the discussion as well as we can
00:20:24 00:20:35  i i think everybody's thought or bad news doesn't get better with time and we don't want to spring something on you short you know rightly before right before the i p r so yes tyson agreed
00:20:35 00:20:37  thing sens will let you know
00:20:38 00:20:46  and and what i will say tyson as i do want to er i guess i can't i can speak to it for the maud and sims tab
00:20:47 00:21:02  i don't know if we're ready to show you on some of these other ones i know that others may be able to speak to that but i think on the modelling and simulation tab that is totally diable because what we did is we deep dove it with the whole team to understand the problem
00:21:03 00:21:47  you know when you get into some of these other ones you know there's there's a lot of stuff inside here that we've got a deep dive you know that we know may or may not be inside of there you know the example i'll give is is southwest pack has carrier strike groups in it we did not plan on demon carrier strike groups at all for the southwest pack piece of it and for you know kind of period it's something we can do but those are the ones that we still got to go through and get through the other a thousand f t c to get there but i can i can tell you i i am very confident we will get it to you for the mason sims tab and then we'll have an internal discussion about who's got those other tabs and how that's going
00:21:51 00:22:04  i might use the example of a massive t we're still integrating the tools in with massive and daniel will give us an up date here later on and wear wrap with massive for the want of september isn't fair to say is dependent on the maturity of that
00:22:04 00:22:06  marcus or danny
00:22:07 00:22:31  i think you know from from morgan's perspective before i give it to danny as it affects the scenario and we all have things we think we're going to integrate it may not affect the f t c but it affects pioneer as a total you know it would always be great if i were modelling entities that look the exact same as the aggregates and they were all talking to each other but that reply that relies on massive and that relies on our ability to make that integration happen here
00:22:32 00:22:34  well with that i'll turn it over to danny if there's any
00:22:34 00:22:35  clarified to put
00:22:37 00:22:50  at be alexander had sunrise or really well earlier this morning i can remember her exact summary but it was you know right now the data model and the time management and the third thing i'm forgetting are really the key things we got to focus on and they'll
00:22:53 00:22:54  thank you d
00:22:56 00:22:58  bisons that answer question
00:22:59 00:23:05  um i think so i get i just ask bryan a grain
00:23:05 00:23:09  but what's your reaction to that as far as
00:23:11 00:23:24  is that getting new what you need as far as we're going to do the review of the review that prompt you formal we can have the discussion on the m and s f t c tab the two weeks pirates of timber
00:23:25 00:23:31  possibly not the other cabs more likely a meter with the effect
00:23:32 00:23:34  adverbs an
00:23:35 00:23:36  i
00:23:36 00:23:47  can you react to that brian yes there's something that you know given that which to me makes sense it took a very long time to create notes
00:23:48 00:23:53  records but one of the things that i think were going to have to have on some of the other things
00:23:54 00:23:58  which i've spoken to bob about is a
00:23:58 00:24:05  you know we need to take like for example we have the technical work flows is we have to have a
00:24:05 00:24:58  corresponding sit picture of you know to create a scenario here's here the key you know functions and sequences in in the pioneer a system right we haven't ferreted out all the details of all the and of the weather and all the side making and all the scenario stuff we minimal need to capture those basic sequences some of this information for example oa showed us in his sequence diagrams but we're going to need some of that sort of information to understand you know it will be important to determine how much of a create a scenario have we got right or how much of a you know a design and war game have we got does that make sense no it makes too so i was going to wait in my mind ah
00:24:59 00:25:18  we're going to need be markets you already talking about provide you not so color coated a spread she back to us to say when do you expect to be able to do this and this is across all the tabs then we go into that negotiation up will this act be able to show us what we need to show us in to to brian's point
00:25:20 00:25:31  or am i thinking of this wrong no no i think you're thinking of it right ah the hesitation you hear in my voice is the panic of what's already going to happen or not happen at
00:25:32 00:25:47  and because we are in a heavy lean trying to get there and if i pull all my my developers and all my scenario power you know trying to go through all fourteen hundred tabs i'm just not going to get to the september demo
00:25:47 00:25:50  and that's really what it comes down to
00:25:50 00:25:54  you know we are and i'll just say it outright like we are severely behind one
00:25:55 00:26:03  and a little bit of it's been because we have new tools that we're integrating right i mean that that's a piece of it a piece of it is
00:26:03 00:26:34  this paper work's important i'm not saying it's not it's just organizational but as we're getting to these sprints and i'm like a oli please stop developing for ten minutes and talk to me for you know four hours on this one tab on this one page and have the and then have the argument amongst all of us if like hey i thought you were doing that hey i thought you was doing that hey wait a minute what does what oes lorez mean what does medium res mean what do you mean by that and it's just it is i'll be ons it crushed the september
00:26:34 00:26:39  and for all the right reasons because if we don't get this organization right up
00:26:39 00:27:40  ah you know we will forever struggle it's a good thing it's just super it's super painful for me to be able to tell you in two more weeks i'm going to be able to sit down with you after the p m r and be able to provide that to you in all the tabs to to give you to give you a insight like we are we are trying to think there so like what we've done is we're going through this define the war game and folks from stan are basically working with a you know working with not using each and every one of these little tabs to develop the war game for o i f and that's what we're doing as we're going through and we're using not to develop the o i f war game and so we're finding all kinds of things you know so we're trying to get ahead of you at the same time but but september i'm just super nervous that we're not going be able to get you anything outside of the modeling and sem for september but we know we've got to get ahead of the bow wave i just don't want to promise you that for that time line marcus and i f for example like you take the
00:27:40 00:28:35  not examples ah we're going to we're in design the game in the scenario and x anat you know you have those like high level a values that basely talk very generically you know there's all the details on the eft c boos just high level things like for example if you're planning to use x anat to develop the game time line and where you're planning to use it as an event control tool but it isn't yet integrated with the simps so as a work around maybe we'd say o k we're going to swivel over and create information in the sim but our intention is to integrate that and have like some sort of an export just that high level information like you know is a is useful right if you just do a really high level in a kind of a work f so we understand in a in big picture you know how the tools are fitting together you see i'm saying not not all the aches just very general you know that's a good start
00:28:37 00:29:15  no i think i understand that and you know a part of our problem this isn't meant to be glib is that we care too much and what i mean by that is as you know as we were using the the not u i we came up with about five more things that weren't on the list like i don't care if they didn't mention it like i need to have the file repository active on the menu like it needs to be right there you know and so we we get slowed down by trying to provide true functional ity so a war game planner has a good model and we're not just chasing f t c but chasing functional ity but using the f t c to demonstrate
00:29:19 00:29:43  right just saying don't don't yet you know burdened down with you know the relatively huge job of creating mapping for all the details it just like i said is one of things that i think we want try to sort out is how you guys see the tools being used in the work flow kind of really big picture like imagine if you said o k make a a work flow that has like
00:29:43 00:29:55  ten or twenty blocks you know or something like that just very simple just so we you know we generally had a picture you know just think about something like that as maybe you know if if other things aren't
00:29:56 00:29:58  ok no that makes sense to me
00:29:58 00:30:02  any other questions from the government before i stop talking about f t c
00:30:09 00:30:18  then we're going to go to ethan marcus mun absolutely i think i've definitely overstayed stayed my welcome on the stage by about like twenty minutes so i apologize ethan
00:30:19 00:30:25  a ethan are you good or do you want me to do a that over view we talked about i'm willing to hand it over to you right now
00:30:26 00:30:27  an
00:30:28 00:30:53  i so want to do an over e a quick one of everything to be great but your yet no it's just basic what ethan and i are what we're telling you is as we go over this sonar o you know we had high hopes and dreams of being able to integrate the sonar o and we're behind on some of that stuff and so that's currently what we're you know when we we're going to cover these at pretty high level because some of the integration pieces aren't up and running yet and that's still what we got to work on
00:30:54 00:30:56  ethan with that i will turn it back over to you
00:30:57 00:30:58  thanks marcus
00:31:00 00:31:04  and a jink you put the slide
00:31:04 00:31:07  but i sure can although once
00:31:08 00:31:10  shannon you're going out to private chat
00:31:11 00:31:12  a
00:31:31 00:31:33  i don't know how well you can see that may put it in us
00:31:36 00:31:38  slide you now that's an
00:31:40 00:31:41  o
00:31:43 00:31:46  lego death is perfect
00:31:46 00:31:48  um ri
00:31:49 00:31:54  good afternoon everybody so this is eton wilson with plexus on the subject matter expert
00:31:56 00:32:09  running the snarl working group stuff for the plexus side of the house an ascot seven working with marcus men to cover vignette one in a little bit more detail than last time when we briefly over viewed it and we have some
00:32:09 00:32:12  a small but a fairly accurate
00:32:13 00:32:15  position reference or some of the activity
00:32:18 00:32:23  so fine one for the demonstration in september peace is going to be on day
00:32:24 00:32:36  run time thing we're going to show case since the s control fight in that large area with those amount of assets is quite large we decided what was the most interesting
00:32:37 00:32:44  peace of those days to kind of focus on that show case the capability we haven't demonstrated yet with pioneer
00:32:44 00:32:55  um and that's primarily the surface warfare sub surface warfare and um overhead or satellite slash space kind of peace and then also trying to derive
00:32:56 00:33:04  what are some of the interesting modelling questions research questions and concepts for a b concept
00:33:04 00:33:17  in relation to a kind of sea control and open sea warfare against a modern adversary so a mission says right there already mentioned anti air war is always going to play into with service game anti sub anti service and the spin space dica
00:33:18 00:33:25  ah so the blue force is present here we are assuming some attrition obviously both
00:33:26 00:33:28  on day four primarily for red
00:33:29 00:33:41  but we do have the service strike group the integrate air missile defense the long range fires and then the lateral regiment which will kind o be the end of vine one when we shift t the a b badger
00:33:42 00:33:47  um red forces so i know it's probably little difficult to see here
00:33:47 00:33:50  on this power point but if you see that white line that's kind of bisecting
00:33:51 00:33:55  the snapshot of l g raid that's the path
00:33:55 00:34:01  many many of the agan series of star satellites for the p r s
00:34:01 00:34:09  so that's kind of one of the pets or f t c n try to show case related to space is going to be the coverage of
00:34:09 00:34:12  un twenty five plus
00:34:12 00:34:20  overhead censors on those orbits with a variety of different detection capabilities so e o r synthetic apter radar and passive
00:34:21 00:34:26  so that's kind of the first piece of the day for which of you
00:34:26 00:34:31  look below under the de for story entry at the very bottom with the paragraph
00:34:31 00:34:37  red overhead gets initial indications of blue forces position via lent optical
00:34:38 00:34:46  so this was a really fun piece to play out which had the capacity to scale quickly beyond the gulf of tig land
00:34:47 00:34:49  of chinese over the horizon radars and how that
00:34:50 00:34:54  we really try to keep within the box and markis on
00:34:55 00:34:57  a jan really good at slapping my hand
00:34:57 00:34:58  keep one the scale out
00:34:59 00:35:05  so again keeping the perspective very kind of operation intact to the surface right here
00:35:06 00:35:07  so
00:35:08 00:35:15  we get some of those elan indications depending on the cons of blue forces but also assuming zero
00:35:15 00:35:16  kind of
00:35:17 00:35:30  over the horizon coing from anything else the coverage area of those censors in that area are so numerous that i'm fairly confident just from the model there would be an indication visually
00:35:30 00:35:32  blue forces in their position
00:35:33 00:35:37  how long it takes to pass that position to remaining forces
00:35:38 00:35:42  um so that's important thats kind of the first piece with the show case to the space space dir
00:35:45 00:35:50  and then it kind of moves into one of these little smaller boxes related to these unity positions
00:35:50 00:36:10  it's all reference to the red forces again so there are some surface strike groups still remaining so two lang threes of the ren hi a few of the fa o bes and some of the supporting frigates knowing that we've kind of done shaping fires on rem destroyed the air field taken out a lot of those coastal defense batteries
00:36:12 00:36:13  that's kind of what
00:36:14 00:36:16  posing forces
00:36:16 00:36:23  next piece if you lok the next line we say blue forces conduct as w against red submarine forces that is a really simple line but the piece there being
00:36:23 00:36:36  the blue force is kind of in the southeast section right there ark you know gritting the water there's an a s w a force with those listed in that global force conflict list with a burke and one of the
00:36:37 00:36:46  frigates the constellation class so we're going to see some no helicopter a s w and some detection utilizing some passive sonar
00:36:49 00:37:02  keep moving forward red surface strike group gets indications ok so the northern section there's a couple of little islands that are inhibiting line of sight and a couple of other things the way
00:37:02 00:37:05  script it out just for the start of day four
00:37:06 00:37:09  is there basically intrenched and
00:37:09 00:37:17  active locations since they've been receiving fires the shang that's kind of using the russian basin strategy stan still be
00:37:18 00:37:20  on of a missile guided over the horizon submarine
00:37:22 00:37:23  protecting what little access they have in
00:37:24 00:37:25  locations
00:37:26 00:37:45  so the cool part here would be a a couple of different ways the red surface groups get indications of blue so we have either the mineral me system pass detection that they're known to have the tile capable or we feed from the earlier story of those agan satellites pass a position or the last known position to them over some sort of red
00:37:46 00:37:50  um and then the next part being the fun part
00:37:50 00:37:51  um
00:37:51 00:38:01  for the surface group for the known chinese threat as of to day twenty twenty one a j eighteens being the huge scary missile
00:38:01 00:38:07  with a second dairy super sane cruise a kill vehicle that can sprint
00:38:07 00:38:14  h like mock three in the terminal phase is highly maneuvre and has a very large warhead on it
00:38:15 00:38:20  how do blue forces deal with multiple salvos of j eighteen
00:38:21 00:38:23  into their kind of defensive screen
00:38:23 00:38:24  so that's
00:38:25 00:38:26  cool model in question
00:38:26 00:38:32  that'll play out how does the new kind of ship self defense systems at the navies fielding
00:38:32 00:38:39  with e m six how do autonomous vessels help support this fight by their
00:38:41 00:38:42  call missile sponges
00:38:43 00:38:53  a utilizing you know mimicking high value acid at radar or something like that but so basically just what's what's blue going to do against so many g eighteen missiles which
00:38:54 00:38:58  even after day four assuming a consistent kind of
00:38:58 00:39:00  engagements across the gulf
00:39:01 00:39:12  the reni alone has like a hundred and twenty four cells a hundred and sixteen cells at the l s and if we even assume like a quarter of each that still each shooter up to thirty is eight
00:39:15 00:39:17  so that's going to be the very i
00:39:19 00:39:34  m while those are in bound there's like a thirty five to fifty mile transmit time about two seconds of flight time m we look at a little bit of the north western you can kind of see that there's some blue forces northwest that say em
00:39:34 00:39:39  blue sub surface forces kind of doing more of that a passive detection
00:39:40 00:39:50  play against red rotaries w so similar kind of vein is earlier but a little bit different in action sub on sub
00:39:51 00:39:58  and then we arrive at the engagement of how to do the blue forces perform against those white eighteens
00:39:59 00:40:04  we'll se how the modelling place out and then the final piece here to transition over to
00:40:04 00:40:20  marcus vine two with the a b badger is if we've known that the lang three has kind of pushed deeper west to maybe du some c j ten attacks on the known position of the a b due to the satellite presence
00:40:21 00:40:23  how well does
00:40:24 00:40:27  new rogue innocent batteries
00:40:28 00:40:31  correlation with marines and
00:40:31 00:40:43  work to destroy those surface threats so right there is going to be a mix of between the constellation class frigate that's going to be loaded out with a naval strike missile as well as a
00:40:44 00:40:54  the ability of the n s m to penetrate a red ship self defense which is really interesting a totally different missile set it's sub sonic but it has
00:40:56 00:41:01  and then this piece ross is going to show case a little bit of loitering drones
00:41:01 00:41:10  those locusts loitering munitions that can assist in kind of saturating their weapon engagement zone in their defensive area to hopefully result in
00:41:12 00:41:14  on those two red surface assets
00:41:15 00:41:21  so that kind of covers i call little sub events of vinet one
00:41:22 00:41:25  pretty nice and then it flows nicely into an
00:41:26 00:41:28  a focus on the a b p soon
00:41:29 00:41:30  the movement at rein as well
00:41:31 00:41:34  is there any questions on
00:41:34 00:41:38  details of the vignette or modelling questions or anything
00:41:39 00:42:04  yes brian gregg just one note on this is it obviously guys have noticed that the water in the gulf of tian there is like you know two hundred and fifteen feet deep so you're going to get some strange acoustic kind of results that was a something we accepted to make the scenario hypothetical for our unclassified game so i just wanted you it it's it isn't a
00:42:04 00:42:11  it isn't weird if when you simulate that you come up with some weird acoustic stuff you know in some cases there's not even a thermal clan
00:42:12 00:42:21  great great detail there for our our passive acoustic piece we're keeping a pretty low level model for this portion but we did
00:42:21 00:42:27  try to consider you know as far as positioning the shang verses the kilo you know
00:42:27 00:42:30  be more quiet in which area and then
00:42:31 00:42:35  as characteristics of those two against the s w assets in the blue side
00:42:36 00:42:38  but that's great detail feed back there
00:42:39 00:42:42  when we add fidelity kind of to that that son
00:42:45 00:42:49  and would love any more not feed back her questions about it
00:42:49 00:42:52  i probably went into too much detail already but with love to go
00:42:52 00:43:13  just just a note on that so for sonar you have three different kinds of propagation cases you have direct direct path propagation bottom bounce and convergent zone converge zones of one where now you're basely getting returns based off a rook chase off the thermal line requiring you to have a thermal line that thatches some weaken
00:43:14 00:43:16  perhaps disgust may get into
00:43:18 00:43:20  i mention as
00:43:21 00:43:25  more towards integration and adding in these different weather and sea states
00:43:28 00:43:33  modeling results i think it'll be the subsurface demo here will be pretty simplified
00:43:34 00:43:41  just a show case the new capability but i would love more that that fe bec of your providing to help us
00:43:41 00:43:42  increase that model
00:43:48 00:43:56  so i mean that i'll back up here and i'm going to get smacked around by jean for saying this but this is why we're asking for
00:43:56 00:44:17  and c data i know that it was like a we don't care but without temere data we can't even get those feed backs bryan and that's why we know we know that the government says hey well do do the best with what you can but if we don't have that detail we can never get into that conversation and a guy like you is going to look at it and be like there can't be any subs
00:44:17 00:44:25  in that gulf like they would never be able to do x y and z cause cause you know something and that's why you know you hear me begging
00:44:26 00:44:31  for the terrain data and le i know it's a pain but this is why we have him lose
00:44:31 00:44:41  i thought we got you you flat it im i to show you i'm going to sp we going to show you where we're at we mental as as as a
00:44:41 00:44:46  we have it in one system but we haven't been able i mean i can tell you this plexus nor i have been able to test a
00:44:47 00:45:16  we're getting there right but i mentioned that because that's why it's been so important and i really meant that as a like a bonus were the government working so hard to give us that so we could have these conversations and we really do appreciate you working on it but it's why we're gong to push a lot of this stuff to the d t cause we're just getting such great information e you know cause the government has worked hard i mean the data we've gotten from bryan in the last month has been staggering
00:45:16 00:45:47  and you guys getting us that d and c data so we really do appreciate that and thats kind of what this hors we were begging for it so we could have these types of conversations and have that realistic discussion about the interesting things that bryan has found in his war game so so it was meant to be hey you know cause jean told me the reason i said jean wasn't slapping around is like marcus police quit talking about terran the government doesn't want to hear about terran any more but you guys did such a great job helping us get that data and we're just at the last aches i want to show something pretty cool in my piece
00:45:48 00:45:54  we all got to push on each other to keep us all going government pushes on us we got to push on them we
00:45:54 00:45:56  david markis
00:45:56 00:46:01  marcus i wonder i'm having a key observation here that i just want to
00:46:02 00:46:10  there is going to be times when the ma will have to provide the ron a s w a m n s
